*
*
*Imbalance Prices Service For Balancing (B1770) Data
*
*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28267156,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,235,17,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28267156,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,235,17,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28266976,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,235,16,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28266976,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,235,16,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28266791,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,78,15,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28266791,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,78,15,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28266612,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,213,14,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28266612,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,213,14,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28266456,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,78,13,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28266456,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,78,13,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
